fecha_utc,hora_utc,fecha_local,hora_local,tipo_evento,descripcion,elevacion,azimut,planeta1,planeta2,posicion1,posicion2,tipo_aspecto,orbe,es_aplicativo,harmony,signo,grado,posicion
2025-02-28,00:44,2025-02-27,21:44,Luna Nueva,Luna nueva en Piscis 9.68°,-26.2°,238.2°,,,,,,,,,Piscis,9.68°,9°40' Piscis
2025-03-01,09:51,2025-03-01,06:51,Ingreso a Signo,Luna ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
2025-03-02,00:06,2025-03-01,21:06,Inicio Retrogradación,Venus inicia retrogradación en 10°50' Aries,,,,,,,,,,,,,
2025-03-02,16:21,2025-03-02,13:21,Aspecto,Mercurio en Conjunción con Neptuno,,,Mercurio,Neptuno,28°57' Piscis,28°57' Piscis,Conjunción,0.00°,No,Neutro,,,
2025-03-02,18:18,2025-03-02,15:18,Aspecto,Sol en Cuadratura con Júpiter,,,Sol,Júpiter,12°25' Piscis,12°25' Géminis,Cuadratura,0.00°,No,Tensión,,,
2025-03-03,09:03,2025-03-03,06:03,Ingreso a Signo,Mercurio ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
2025-03-03,10:36,2025-03-03,07:36,Ingreso a Signo,Luna ingresa a 0.00° de Tauro (Directo),,,,,,,,,,,,,
2025-03-05,12:29,2025-03-05,09:29,Ingreso a Signo,Luna ingresa a 0.00° de Géminis (Directo),,,,,,,,,,,,,
2025-03-05,13:12,2025-03-05,10:12,Aspecto,Mercurio en Sextil con Plutón,,,Mercurio,Plutón,3°00' Aries,3°00' Acuario,Sextil,0.00°,No,Armónico,,,
2025-03-07,16:28,2025-03-07,13:28,Ingreso a Signo,Luna ingresa a 0.00° de Cáncer (Directo),,,,,,,,,,,,,
2025-03-08,05:12,2025-03-08,02:12,Aspecto,Sol en Trígono con Marte,,,Sol,Marte,17°52' Piscis,17°52' Cáncer,Trígono,0.00°,No,Armónico,,,
2025-03-09,22:58,2025-03-09,19:58,Ingreso a Signo,Luna ingresa a 0.00° de Leo (Directo),,,,,,,,,,,,,
2025-03-11,22:54,2025-03-11,19:54,Aspecto,Mercurio en Conjunción con Venus,,,Mercurio,Venus,8°47' Aries,8°47' Aries,Conjunción,0.00°,No,Neutro,,,
2025-03-12,07:55,2025-03-12,04:55,Ingreso a Signo,Luna ingresa a 0.00° de Virgo (Directo),,,,,,,,,,,,,
2025-03-12,10:28,2025-03-12,07:28,Aspecto,Sol en Conjunción con Saturno,,,Sol,Saturno,22°05' Piscis,22°05' Piscis,Conjunción,0.00°,No,Neutro,,,
2025-03-14,06:54,2025-03-14,03:54,Luna Llena,Luna llena en Virgo 23.94°,34.5°,303.8°,,,,,,,,,Virgo,23.94°,23°56' Virgo
2025-03-14,06:54,2025-03-14,03:54,Eclipse Lunar,Eclipse Lunar Total en Virgo 23.94° (distancia al nodo: 3.4°),34.5°,303.8°,,,,,,,,,Virgo,23.94°,23°56' Virgo
2025-03-14,09:16,2025-03-14,06:16,Aspecto,Sol en Sextil con Urano,,,Sol,Urano,24°02' Piscis,24°02' Tauro,Sextil,0.00°,No,Armónico,,,
2025-03-14,18:58,2025-03-14,15:58,Ingreso a Signo,Luna ingresa a 0.00° de Libra (Directo),,,,,,,,,,,,,
2025-03-15,06:16,2025-03-15,03:16,Inicio Retrogradación,Mercurio inicia retrogradación en 9°35' Aries,,,,,,,,,,,,,
2025-03-17,07:30,2025-03-17,04:30,Ingreso a Signo,Luna ingresa a 0.00° de Escorpio (Directo),,,,,,,,,,,,,
2025-03-19,20:16,2025-03-19,17:16,Ingreso a Signo,Luna ingresa a 0.00° de Sagitario (Directo),,,,,,,,,,,,,
2025-03-19,23:25,2025-03-19,20:25,Aspecto,Sol en Conjunción con Neptuno,,,Sol,Neptuno,29°36' Piscis,29°36' Piscis,Conjunción,0.00°,No,Neutro,,,
2025-03-20,09:01,2025-03-20,06:01,Ingreso a Signo,Sol ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
2025-03-21,21:32,2025-03-21,18:32,Aspecto,Venus en Sextil con Plutón,,,Venus,Plutón,3°22' Aries,3°22' Acuario,Sextil,0.00°,No,Armónico,,,
2025-03-22,07:28,2025-03-22,04:28,Ingreso a Signo,Luna ingresa a 0.00° de Capricornio (Directo),,,,,,,,,,,,,
2025-03-23,01:07,2025-03-22,22:07,Aspecto,Sol en Conjunción con Venus,,,Sol,Venus,2°39' Aries,2°39' Aries,Conjunción,0.00°,No,Neutro,,,
2025-03-23,19:31,2025-03-23,16:31,Aspecto,Sol en Sextil con Plutón,,,Sol,Plutón,3°24' Aries,3°24' Acuario,Sextil,0.00°,No,Armónico,,,
2025-03-24,15:24,2025-03-24,12:24,Ingreso a Signo,Luna ingresa a 0.00° de Acuario (Directo),,,,,,,,,,,,,
2025-03-24,19:48,2025-03-24,16:48,Aspecto,Sol en Conjunción con Mercurio,,,Sol,Mercurio,4°24' Aries,4°24' Aries,Conjunción,0.00°,No,Neutro,,,
2025-03-25,22:02,2025-03-25,19:02,Aspecto,Mercurio en Sextil con Plutón,,,Mercurio,Plutón,3°27' Aries,3°27' Acuario,Sextil,0.00°,No,Armónico,,,
2025-03-26,19:31,2025-03-26,16:31,Ingreso a Signo,Luna ingresa a 0.00° de Piscis (Directo),,,,,,,,,,,,,
2025-03-27,08:40,2025-03-27,05:40,Ingreso a Signo,Venus deja a 29.99° de Aries (Retrógrado),,,,,,,,,,,,,
2025-03-27,13:13,2025-03-27,10:13,Aspecto,Venus en Conjunción con Neptuno,,,Venus,Neptuno,29°53' Piscis,29°53' Piscis,Conjunción,0.00°,No,Neutro,,,
2025-03-28,20:36,2025-03-28,17:36,Ingreso a Signo,Luna ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
2025-03-29,10:57,2025-03-29,07:57,Luna Nueva,Luna nueva en Aries 9.00°,10.2°,78.5°,,,,,,,,,Aries,9.00°,9°00' Aries
2025-03-29,10:57,2025-03-29,07:57,Eclipse Solar,Eclipse Solar Parcial en Aries 9.00° (distancia al nodo: 168.4°),10.2°,78.5°,,,,,,,,,Aries,9.00°,9°00' Aries
2025-03-30,02:17,2025-03-29,23:17,Ingreso a Signo,Mercurio deja a 29.99° de Aries (Retrógrado),,,,,,,,,,,,,
2025-03-30,02:46,2025-03-29,23:46,Aspecto,Mercurio en Conjunción con Neptuno,,,Mercurio,Neptuno,29°59' Piscis,29°59' Piscis,Conjunción,0.00°,No,Neutro,,,
2025-03-30,11:57,2025-03-30,08:57,Ingreso a Signo,Neptuno ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
2025-03-30,20:15,2025-03-30,17:15,Ingreso a Signo,Luna ingresa a 0.00° de Tauro (Directo),,,,,,,,,,,,,
2025-04-01,20:25,2025-04-01,17:25,Ingreso a Signo,Luna ingresa a 0.00° de Géminis (Directo),,,,,,,,,,,,,
2025-04-03,22:50,2025-04-03,19:50,Ingreso a Signo,Luna ingresa a 0.00° de Cáncer (Directo),,,,,,,,,,,,,
2025-04-04,16:20,2025-04-04,13:20,Aspecto,Saturno en Sextil con Urano,,,Saturno,Urano,24°55' Piscis,24°55' Tauro,Sextil,0.00°,No,Armónico,,,
2025-04-04,23:04,2025-04-04,20:04,Aspecto,Marte en Sextil con Urano,,,Marte,Urano,24°56' Cáncer,24°56' Tauro,Sextil,0.00°,No,Armónico,,,
2025-04-05,01:08,2025-04-04,22:08,Aspecto,Marte en Trígono con Saturno,,,Marte,Saturno,24°58' Cáncer,24°58' Piscis,Trígono,0.00°,No,Armónico,,,
2025-04-05,04:25,2025-04-05,01:25,Aspecto,Saturno en Sextil con Urano,,,Saturno,Urano,24°59' Piscis,24°57' Tauro,Sextil,0.04°,No,Armónico,,,
2025-04-05,16:25,2025-04-05,13:25,Aspecto,Saturno en Sextil con Urano,,,Saturno,Urano,25°02' Piscis,24°58' Tauro,Sextil,0.07°,No,Armónico,,,
2025-04-06,04:34,2025-04-06,01:34,Ingreso a Signo,Luna ingresa a 0.00° de Leo (Directo),,,,,,,,,,,,,
2025-04-06,09:44,2025-04-06,06:44,Aspecto,Sol en Sextil con Júpiter,,,Sol,Júpiter,16°50' Aries,16°50' Géminis,Sextil,0.00°,No,Armónico,,,
2025-04-06,12:13,2025-04-06,09:13,Aspecto,Venus en Trígono con Marte,,,Venus,Marte,25°29' Piscis,25°29' Cáncer,Trígono,0.00°,No,Armónico,,,
2025-04-07,11:01,2025-04-07,08:01,Aspecto,Venus en Conjunción con Saturno,,,Venus,Saturno,25°15' Piscis,25°15' Piscis,Conjunción,0.00°,No,Neutro,,,
2025-04-08,04:48,2025-04-08,01:48,Aspecto,Venus en Sextil con Urano,,,Venus,Urano,25°05' Piscis,25°05' Tauro,Sextil,0.00°,No,Armónico,,,
2025-04-08,13:39,2025-04-08,10:39,Ingreso a Signo,Luna ingresa a 0.00° de Virgo (Directo),,,,,,,,,,,,,
2025-04-11,01:11,2025-04-10,22:11,Ingreso a Signo,Luna ingresa a 0.00° de Libra (Directo),,,,,,,,,,,,,
2025-04-13,00:22,2025-04-12,21:22,Luna Llena,Luna llena en Libra 23.33°,36.6°,76.8°,,,,,,,,,Libra,23.33°,23°19' Libra
